name,AID
Chris Pratt,1
Noomi Rapace,2
James McAvoy,3
Matthew McConaughey,4
Will Smith,5
Matt Damon,6
Ryan Gosling,7
Essie Davis,8
Charlie Hunnam,9
Jennifer Lawrence,10
Eddie Redmayne,11
Taraji P. Henson,12
Felicity Jones,13
Aulii Cravalho,14
Anne Hathaway,15
Louis C.K.,16
Andrew Garfield,17
Dev Patel,18
Amy Adams,19
Casey Affleck,20
Emma Booth,21
Anna Kendrick,22
Liam Hemsworth,23
Fiona Gordon,24
Prabhas,25
Jocelin Donahue,26
Mila Kunis,27
Michael Fassbender,28
Zoey Deutch,29
Ryan Reynolds,30
Milla Jovovich,31
Chris Evans,32
Benedict Cumberbatch,33
Denzel Washington,34
John Francis Daley,35
Seth Rogen,36
Mahershala Ali,37
Brittany Blanton,38
Michael Keaton,39
Gabriel Chavarria,40
Johnny Depp,41
Jessica Chastain,42
Hermione Corfield,43
Chris Pine,44
Charlize Theron,45
Daisy Ridley,46
Kate Beckinsale,47
Jennifer Aniston,48
Keanu Reeves,49
Christian Bale,50
Stephen Lang,51
Emilia Clarke,52
Gemma Arterton,53
Tom Hanks,54
Ben Affleck,55
Brian Cox,56
Emily Blunt,57
Dakota Johnson,58
Colin Firth,59
Mark Wahlberg,60
Tom Hardy,61
Bryan Cranston,62
Oscar Isaac,63
Brad Pitt,64
Lewis MacDougall,65
Ginnifer Goodwin,66
Robert Downey Jr.,67
Melissa McCarthy,68
Leonardo DiCaprio,69
Viggo Mortensen,70
Vin Diesel,71
Sam Worthington,72
Samuel L. Jackson,73
Hugh Jackman,74
Travis Fimmel,75
Emma Stone,76
Jonah Hill,77
Russell Crowe,78
Rynosuke Kamiki,79
Aaron Poole,80
Kristen Stewart,81
Chris Hemsworth,82
Mario Casas,83
Henry Cavill,84
Robert De Niro,85
Alexander Skarsgrd,86
Eve Lindley,87
Alicia Vikander,88
John Gallagher Jr.,89
Chiwetel Ejiofor,90
Gerard Butler,91
Daniel Radcliffe,92
Jason Bateman,93
Elle Fanning,94
Aamir Khan,95
John Goodman,96
Ellen DeGeneres,97
Eva Green,98
Shailene Woodley,99
Zac Efron,100
Scott Adkins,101
Neel Sethi,102
Emma Roberts,103
Meryl Streep,104
Blake Lively,105
Miles Teller,106
Tommy Lee Jones,107
Dakota Fanning,108
Zachary Gordon,109
Brie Larson,110
Jamie Foxx,111
Min hee Kim,112
Hailee Steinfeld,113
Jackie Earle Haley,114
Michael Cera,115
Mark Rylance,116
Morgan Saylor,117
Chris Isaak,118
Reiko Aylesworth,119
Idris Elba,120
Steve Carell,121
Simon Pegg,122
Armie Hammer,123
Sharlto Copley,124
Patrick Stewart,125
Tom Cruise,126
Daniel Craig,127
Jesse Eisenberg,128
Helen Mirren,129
John Krasinski,130
Jake Gyllenhaal,131
Graham Skipper,132
Joaquin Phoenix,133
Kristen Bell,134
George Clooney,135
Gary Oldman,136
Ben Stiller,137
Vera Farmiga,138
Paul Rudd,139
Rene Zellweger,140
Anya Taylor Joy,141
Lily James,142
Tom Hughes,143
Taraneh Alidoosti,144
Aomi Muyock,145
Joe Alwyn,146
Mia Wasikowska,147
Amy Schumer,148
Erika Linder,149
Mark Ruffalo,150
Kate Mara,151
Callan McAuliffe,152
Emile Hirsch,153
Dwayne Johnson,154
Dane DeHaan,155
Joseph Gordon Levitt,156
Garance Marillier,157
Adam Driver,158
Kristen Wiig,159
Vanessa Hudgens,160
Shia LaBeouf,161
Josh Brolin,162
Brenton Thwaites,163
Lucas Till,164
Mark Huberman,165
Aaron Taylor Johnson,166
Owen Wilson,167
Maika Monroe,168
Jason Sudeikis,169
Sasha Lane,170
Colin Farrell,171
Adrien Brody,172
Angelina Jolie,173
Ivana Baquero,174
Patrick Wilson,175
Gerardo Taracena,176
Logan Lerman,177
Natalie Portman,178
Ralph Fiennes,179
Saoirse Ronan,180
Amy Poehler,181
Luke Wilson,182
Arnold Schwarzenegger,183
Julianne Moore,184
Annette Bening,185
Franois Cluzet,186
Diane Lane,187
Christos Stergioglou,188
OShea Jackson Jr,189
Zach Galifianakis,190
James Franco,191
Teresa Palmer,192
Richard Gere,193
Tyler James Williams,194
Charlotte Gainsbourg,195
Megan Fox,196
