Votes,Rating,Metascore
757074,8.1,76
485820,7,65
157606,7.3,62
60545,7.2,59
393727,6.2,40
56036,6.1,42
258682,8.3,93
2490,6.4,71
7188,7.1,78
192177,7,41
232072,7.5,66
93103,7.8,74
323118,7.9,65
118151,7.7,81
8612,6.4,70
120259,6.6,61
211760,8.2,71
150823,6.7,58
102061,8.1,69
340798,8,81
19053,6.7,49
134213,7.9,96
1115,6.7,72
38552,6.5,56
127553,5.3,32
222,6.8,58.98504274
76193,8.3,58.98504274
523,4.7,58.98504274
66540,6.2,60
112813,5.9,36
48123,6.3,39
126030,7.5,67
275510,7.1,52
627797,8,65
46165,5.6,49
411656,7.9,75
1047747,8.6,74
293732,7.6,72
122853,6.9,54
241,7.1,58.98504274
120690,6.3,66
135095,7.5,99
496,2.7,58.98504274
37033,7.2,66
279,6.3,57
395025,6.7,45
17818,7.3,64
5103,5.6,58.98504274
164567,7.1,68
987,3.7,16
661608,8.1,81
41362,5.8,23
20221,5.6,18
321933,7.2,68
1791916,9,82
49190,7.3,79
121103,7.2,71
113322,7.4,51
3739,7,76
137608,7.5,74
472307,6.7,44
35870,6.8,65
102177,6.5,48
244474,4.1,46
913152,8.5,66
440209,7.7,58
39784,7.4,69
632842,8.1,90
291,7.5,61
89849,7.2,68
149791,5.9,49
78079,7.1,60
39134,7.5,76
43977,6.8,23
296853,8.1,78
498821,7.1,50
1045588,8.1,69
959065,8.3,69
552027,7.3,53
147717,5.3,60
1583625,8.8,74
105081,7.9,72
865134,8.2,75
636243,8.1,79
301249,7.2,67
455169,7,59
27869,6.4,49
935408,7.8,83
341170,7.8,68
162122,7.4,51
431185,8.1,74
187547,7,32
342429,8.1,62
106463,7.1,57
516895,7.4,66
175067,7.4,70
34110,8.6,79
9247,5.8,62
10181,6.3,77
937414,8.5,85
108836,7,55
570814,7,57
556097,8,80
7204,7.9,58.98504274
202973,7.3,56
115546,7.7,88
1954,5.4,40
117590,6.3,44
1004,5.8,48
339797,7.7,78
3712,6.3,44
486338,8.1,96
512,6.1,65
637104,7.7,52
590595,8.1,87
30761,5.8,42
50359,6.2,51
48969,8.8,58.98504274
192968,7.2,76
157026,7.4,77
101058,6.7,57
362093,6.7,48
53183,6,51
10428,7.4,58.98504274
1222645,8.5,78
198243,7.5,77
255483,5.7,32
69651,6.6,58
153481,6.4,51
499424,8,76
