Rank,GID
1,1
1,2
1,14
2,2
2,3
2,14
3,11
3,4
4,15
4,8
4,6
5,1
5,2
5,5
6,1
6,2
6,5
7,8
7,10
7,12
8,8
9,1
9,2
9,7
10,2
10,10
10,13
11,2
11,6
11,5
12,7
12,10
12,16
13,1
13,2
13,14
14,15
14,2
14,8
15,1
15,8
15,10
16,15
16,2
16,8
17,7
17,10
17,16
18,1
18,4
19,7
19,10
20,10
20,3
20,14
21,2
21,10
21,4
22,10
23,9
23,10
23,11
24,15
24,2
24,8
25,1
25,2
25,14
26,8
27,1
27,2
27,10
28,11
28,4
29,8
30,1
30,2
30,10
31,8
32,10
32,4
33,1
33,2
33,14
34,1
34,2
34,8
35,1
35,11
35,14
36,1
36,2
36,14
37,2
37,10
37,14
38,1
38,2
38,5
39,1
39,2
39,18
40,8
40,10
41,15
41,2
41,8
42,10
43,11
44,7
44,10
44,16
45,10
46,1
46,2
46,5
47,10
47,4
48,2
48,10
48,5
49,1
49,2
49,14
50,10
51,1
51,2
51,5
52,1
52,2
52,5
53,8
53,10
54,1
54,9
54,4
55,1
55,9
55,10
56,2
56,10
56,16
57,9
57,11
57,4
58,10
58,13
59,8
59,10
59,13
60,7
60,10
61,1
61,2
61,14
62,11
62,3
62,4
63,9
63,10
63,3
64,10
64,13
64,4
65,10
65,3
65,14
66,1
66,2
66,8
67,10
67,16
67,4
68,1
68,2
68,14
69,10
70,1
70,10
70,4
71,10
71,16
72,1
72,10
72,13
73,10
73,5
74,10
74,13
75,15
75,2
75,8
76,1
76,2
76,5
77,1
77,14
78,2
78,10
78,17
79,1
79,2
79,5
80,1
80,8
80,5
81,1
81,2
81,14
82,8
82,10
83,7
83,8
83,9
84,9
84,10
84,3
85,1
85,9
85,4
86,1
86,2
86,14
87,9
87,10
88,1
88,2
88,5
89,9
89,10
89,3
90,1
90,9
90,10
91,9
91,10
91,3
92,1
92,2
92,5
93,10
94,8
94,9
94,10
95,1
95,2
95,14
96,1
96,8
96,9
97,15
97,10
97,5
98,11
98,3
98,14
99,10
99,3
99,4
100,9
100,10
100,4
101,7
101,9
101,10
102,1
102,2
102,5
103,2
103,10
103,14
104,9
104,3
104,4
105,1
105,2
105,8
106,9
106,10
106,4
107,8
108,1
108,2
108,10
109,10
110,10
110,3
110,14
111,1
111,11
111,4
112,7
112,10
112,16
113,13
113,14
114,1
114,5
114,17
115,2
115,10
115,5
116,8
117,11
117,4
118,1
118,7
118,10
119,10
119,11
119,3
120,15
120,2
120,8
121,2
121,10
121,6
122,2
122,3
122,14
123,2
123,8
123,13
124,1
125,1
125,4
126,2
126,10
126,6
127,1
127,2
127,14
128,2
128,9
128,3
129,8
129,6
129,2
130,2
130,10
130,4
131,10
132,2
132,8
132,10
133,10
133,11
133,4
134,10
134,12
135,1
135,9
135,4
136,9
136,10
136,4
137,9
137,10
137,4
138,10
138,13
139,3
139,4
140,3
140,4
140,18
141,1
141,2
141,14
142,8
142,6
143,7
143,8
143,10
144,10
145,10
145,18
146,10
146,3
146,13
147,8
147,10
148,1
148,10
148,3
149,8
150,1
150,2
150,9
151,2
151,6
151,5
152,2
152,14
152,4
153,10
154,1
154,9
154,10
155,10
155,11
155,3
156,1
156,11
156,14
157,1
157,2
157,14
158,8
158,10
158,13
159,1
159,8
159,5
160,1
160,8
160,3
161,4
161,17
162,1
162,8
162,9
163,1
163,2
163,14
164,1
164,2
164,9
165,1
165,2
165,4
166,10
166,5
166,13
167,1
167,2
167,8
168,7
168,10
168,16
169,1
169,10
169,16
170,1
170,2
170,4
171,9
171,10
171,4
172,15
172,2
172,6
173,2
173,11
174,10
174,13
174,14
175,15
175,2
175,8
176,1
176,2
176,6
177,1
177,2
177,10
178,1
178,8
179,11
179,3
179,4
180,1
180,2
180,8
181,8
181,13
182,11
182,3
183,10
183,6
183,5
184,14
185,10
185,4
186,10
186,13
187,10
187,17
188,10
188,5
188,11
189,9
189,10
190,8
190,10
190,13
191,10
191,13
192,10
193,9
193,10
193,16
194,11
194,14
194,4
195,1
195,10
195,19
196,1
196,2
196,14
197,9
197,10
197,4
198,2
198,7
198,10
199,7
199,10
199,4
200,1
200,8
200,9
201,1
201,2
201,14
202,10
202,5
202,11
203,7
203,10
203,4
204,1
204,2
204,14
205,1
205,2
205,3
206,1
206,2
206,14
207,10
207,11
208,8
208,10
208,13
209,8
209,13
210,10
210,11
210,4
211,1
211,2
211,10
212,10
213,1
213,2
213,14
214,1
214,10
214,3
215,1
215,2
215,5
216,1
216,2
216,5
217,1
217,2
217,14
218,1
218,2
218,8
219,10
219,11
220,1
220,8
221,1
221,2
221,14
222,15
222,2
222,8
223,11
223,3
224,9
224,10
224,3
225,8
225,9
226,10
227,8
227,10
227,13
228,1
228,2
228,14
229,1
229,2
229,6
230,11
230,14
230,4
231,10
231,5
231,17
232,9
232,10
232,4
233,1
233,2
233,10
234,1
234,2
234,4
235,1
235,2
235,10
236,10
236,13
237,7
237,10
237,16
238,10
238,11
238,4
239,2
239,8
239,10
240,1
240,2
240,13
241,1
241,10
241,17
242,15
242,2
242,8
243,15
243,2
243,8
244,1
244,2
244,14
245,2
245,6
245,5
246,10
246,6
246,13
247,10
247,14
247,4
248,8
248,10
249,1
249,8
249,9
250,7
250,8
250,10
251,8
251,10
251,13
252,10
252,4
253,7
253,10
253,16
254,1
254,2
254,14
255,11
255,3
255,4
256,8
257,1
257,2
257,14
258,1
258,10
258,14
259,11
260,10
260,4
261,8
261,10
261,13
262,10
262,4
263,8
263,10
264,10
265,1
265,2
265,8
266,10
266,11
266,4
267,8
268,10
268,14
269,1
269,2
269,14
270,11
271,1
271,2
271,4
272,2
272,5
273,1
273,8
273,9
274,8
274,10
274,12
275,15
275,2
275,8
276,1
276,2
276,3
277,1
277,8
277,9
278,9
278,10
278,16
279,8
280,1
280,2
280,14
281,9
281,3
281,4
282,1
282,2
282,9
283,4
284,7
284,10
284,13
285,1
285,2
286,1
286,5
287,1
287,8
288,1
288,2
288,14
289,1
289,8
289,9
290,4
291,1
291,10
291,11
292,8
292,12
292,13
293,8
294,10
295,1
295,2
295,5
296,10
296,13
297,15
297,2
297,8
298,8
298,10
299,7
299,9
299,10
300,10
300,16
301,1
301,9
301,4
302,1
302,7
302,10
303,11
304,8
304,13
305,8
305,13
306,8
306,9
306,10
307,2
307,6
307,5
308,9
308,10
308,4
309,1
309,9
309,4
310,8
310,13
311,7
311,10
311,19
312,10
312,13
313,10
313,11
314,2
314,5
315,2
315,6
315,5
316,1
316,10
316,14
317,1
317,2
317,14
318,1
318,11
319,8
319,11
319,4
320,1
320,9
320,4
321,9
321,10
321,12
322,10
323,1
323,9
323,4
324,1
324,14
324,4
325,7
325,10
326,1
326,2
326,5
327,10
327,11
327,14
328,7
328,8
328,10
329,9
329,11
329,4
330,9
330,10
330,3
331,15
331,2
331,8
332,1
332,7
332,10
333,7
333,10
334,7
334,10
334,16
335,1
335,7
335,10
336,10
336,5
336,11
337,8
337,10
337,13
338,10
338,19
339,10
339,13
340,8
340,13
341,1
341,9
341,4
342,1
342,9
342,10
343,1
343,10
343,4
344,2
344,6
344,5
345,1
345,2
346,1
346,2
346,13
347,2
347,6
347,5
348,9
348,10
349,8
349,11
350,8
350,5
350,13
351,10
352,10
353,8
353,10
354,8
354,10
354,13
355,2
355,14
355,4
356,1
356,2
356,5
357,8
357,10
358,7
358,10
358,13
359,8
359,5
360,8
360,10
360,5
361,8
362,11
362,4
363,1
363,2
363,14
364,2
364,8
364,11
365,8
365,3
366,10
367,2
367,10
367,5
368,10
368,19
369,1
369,2
370,1
370,2
370,10
371,1
371,10
371,14
372,1
372,3
372,14
373,1
373,9
373,10
374,1
374,9
374,5
375,7
375,8
375,10
376,1
376,9
376,4
377,7
377,9
377,10
378,10
378,19
379,2
379,8
379,10
380,1
380,2
380,4
381,8
381,5
381,11
382,10
382,19
383,11
383,4
384,10
384,16
384,4
385,15
385,1
385,2
386,1
386,2
386,10
387,1
387,8
387,6
388,1
388,2
388,10
389,1
389,2
389,14
390,1
390,2
390,14
391,1
391,8
392,1
392,9
392,10
393,7
393,10
394,8
394,13
395,8
396,10
396,5
396,13
397,1
397,2
397,14
398,8
399,8
399,14
400,8
400,10
401,15
401,1
401,2
402,11
403,1
403,7
403,9
404,15
404,2
404,8
405,10
405,13
406,10
406,3
406,4
407,10
407,16
407,4
408,15
408,2
408,8
409,1
409,2
409,14
410,2
410,8
411,1
411,4
412,8
412,12
413,15
413,2
413,8
414,9
414,10
414,4
415,1
415,2
415,9
416,8
416,10
416,11
417,10
418,10
418,3
418,13
419,2
419,6
419,5
420,10
421,1
421,10
421,4
422,10
423,1
423,11
423,13
424,1
424,10
424,5
425,1
425,9
425,10
426,10
426,5
426,13
427,1
427,9
427,4
428,1
428,3
428,4
429,11
429,3
429,4
430,1
430,11
430,14
431,8
431,10
432,8
433,1
433,2
433,11
434,1
434,2
434,4
435,1
435,9
435,10
436,8
436,9
436,10
437,10
437,13
438,10
438,4
439,1
439,8
439,9
440,8
441,2
441,6
441,5
442,10
442,13
443,15
443,6
443,5
444,10
444,13
445,4
446,2
446,11
446,3
447,1
447,14
448,2
448,8
448,10
449,15
449,1
449,2
450,10
450,11
451,1
451,2
451,14
452,8
452,10
453,1
453,11
453,3
454,1
454,4
455,1
455,2
455,14
456,10
457,8
457,10
457,13
458,8
458,9
459,8
459,13
460,10
460,13
461,9
461,10
461,4
462,11
462,3
462,4
463,7
463,10
464,10
464,3
464,14
465,2
465,8
465,6
466,1
466,2
466,9
467,1
467,9
467,3
468,3
468,4
469,1
469,14
469,4
470,1
470,8
470,9
471,7
471,9
471,10
472,7
472,10
472,16
473,1
473,2
473,14
474,2
474,6
474,5
475,7
475,10
475,16
476,7
476,8
476,10
477,10
477,4
478,11
478,4
479,10
480,10
480,17
481,8
481,10
481,13
482,10
482,13
482,14
483,1
483,9
483,10
484,8
484,10
485,15
485,1
485,2
486,2
486,8
486,10
487,8
487,10
487,6
488,10
488,13
488,4
489,8
489,9
489,10
490,15
490,8
490,6
491,10
491,11
491,14
492,1
492,2
492,10
493,1
493,11
493,14
494,1
494,9
494,19
495,10
495,11
495,14
496,10
496,11
496,14
497,1
497,2
497,8
498,3
498,14
498,4
499,9
499,10
499,4
500,15
500,2
500,8
501,1
501,14
501,4
502,10
502,13
503,9
503,10
503,4
504,8
504,10
504,12
505,10
505,5
505,13
506,9
506,10
506,4
507,9
507,10
507,4
508,8
508,10
508,13
509,8
509,13
510,10
510,14
510,4
511,10
511,17
512,1
512,9
512,10
513,14
513,4
514,2
514,10
514,11
515,8
515,10
515,12
516,8
516,10
516,13
517,1
517,2
517,10
518,1
518,9
518,10
519,2
519,5
520,10
520,13
521,7
521,16
521,4
522,9
522,10
522,4
523,1
523,10
523,16
524,7
524,8
524,10
525,9
525,10
525,4
526,1
526,7
526,10
527,1
527,10
527,14
528,2
528,11
529,1
529,2
529,14
530,1
530,2
530,3
531,8
531,10
531,13
532,11
532,4
533,1
533,14
533,4
534,1
534,14
534,4
535,7
535,10
536,1
536,9
536,10
537,1
537,9
537,3
538,1
538,2
538,8
539,9
539,10
539,4
540,9
540,10
541,3
541,4
542,3
542,14
542,4
543,1
543,3
543,14
544,10
544,13
545,10
545,4
546,10
546,3
546,14
547,8
547,10
548,2
548,6
548,5
549,7
549,10
549,19
550,10
551,8
551,10
551,13
552,7
552,10
552,13
553,1
553,2
553,14
554,10
554,14
554,4
555,10
555,13
555,4
556,3
556,4
557,3
557,4
558,1
558,10
558,5
559,1
559,2
559,7
560,2
560,8
560,14
561,1
561,2
561,4
562,5
562,11
563,11
563,3
564,15
564,2
564,8
565,1
565,2
565,10
566,2
566,6
566,5
567,1
567,2
567,14
568,8
568,10
569,8
569,10
570,9
570,10
570,4
571,8
571,13
572,15
572,8
572,6
573,8
573,10
574,8
574,10
575,7
575,10
575,19
576,1
576,2
576,5
577,1
577,10
577,16
578,1
578,2
578,14
579,1
579,2
579,3
580,9
580,10
580,3
581,1
582,1
582,2
582,6
583,8
583,13
584,8
584,10
584,13
585,7
585,10
585,19
586,1
586,5
586,4
587,7
587,10
587,19
588,1
588,10
588,5
589,2
589,14
589,4
590,15
590,2
590,8
591,10
591,3
591,4
592,10
592,13
593,9
593,10
593,3
594,8
594,13
594,19
595,8
595,6
596,10
596,11
596,3
597,1
597,10
597,19
598,1
598,2
598,8
599,10
599,3
599,14
600,15
600,1
600,8
601,1
601,9
601,10
602,1
602,9
602,10
603,8
603,10
603,13
604,15
604,1
604,2
605,9
605,10
606,10
607,10
608,8
608,9
609,10
610,1
610,2
610,5
611,10
611,5
611,13
612,8
612,10
613,10
613,5
613,4
614,7
614,9
614,10
615,8
615,10
615,13
616,1
616,9
616,10
617,14
618,1
618,7
618,10
619,1
619,8
619,13
620,2
620,8
620,10
621,8
621,9
621,10
622,1
622,5
622,11
623,10
623,11
624,11
625,1
625,4
626,1
626,2
626,3
627,1
627,2
627,5
628,8
628,10
628,13
629,9
629,10
629,3
630,2
