MID,Title,Description,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore,PID,DID
1,Guardians of the Galaxy,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,2014,121,8.1,757074,333.13,76,101,D10
2,Prometheus,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.",2012,124,7,485820,126.46,65,102,D11
3,Split,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,2016,117,7.3,157606,138.12,62,103,D12
4,Sing,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.",2016,108,7.2,60545,270.32,59,104,D12
5,Suicide Squad,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,2016,123,6.2,393727,325.02,40,105,D12
6,The Great Wall,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,2016,103,6.1,56036,45.13,42,106,D12
7,La La Land,A jazz pianist falls for an aspiring actress in Los Angeles.,2016,128,8.3,258682,151.06,93,107,D13
8,Mindhorn,"A has-been actor best known for playing the title character in the 1980s detective series ""Mindhorn"" must work with the police when a serial killer says that he will only speak with Detective Mindhorn, whom he believes to be a real person.",2016,89,6.4,2490,82.95637615,71,108,D13
9,The Lost City of Z,"A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared while searching for a mysterious city in the Amazon in the 1920s.",2016,141,7.1,7188,8.01,78,109,D14
10,Passengers,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",2016,116,7,192177,100.01,41,110,D14
11,Fantastic Beasts and Where to Find Them,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,2016,133,7.5,232072,234.02,66,111,D15
12,Hidden Figures,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,2016,127,7.8,93103,169.27,74,112,D16
13,Rogue One,"The Rebel Alliance makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow.",2016,133,7.9,323118,532.17,65,113,D17
14,Moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right.",2016,107,7.7,118151,248.75,81,114,D18
15,Colossal,"Gloria is an out-of-work party girl forced to leave her life in New York City, and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",2016,109,6.4,8612,2.87,70,115,D19
16,The Secret Life of Pets,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",2016,87,6.6,120259,368.31,61,116,D19
17,Hacksaw Ridge,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",2016,139,8.2,211760,67.12,71,117,D20
18,Jason Bourne,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.,2016,123,6.7,150823,162.16,58,118,D21
19,Lion,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family.",2016,118,8.1,102061,51.69,69,119,D22
20,Arrival,"When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.",2016,116,8,340798,100.5,81,120,D22
21,Gold,"Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.",2016,120,6.7,19053,7.22,49,121,D22
22,Manchester by the Sea,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,2016,137,7.9,134213,47.7,96,122,D23
23,Hounds of Love,"A cold-blooded predatory couple while cruising the streets in search of their next victim, will stumble upon a 17-year-old high school girl, who will be sedated, abducted and chained in the strangers' guest room.",2016,108,6.7,1115,82.95637615,72,123,D24
24,Trolls,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",2016,92,6.5,38552,153.69,56,124,D25
25,Independence Day: Resurgence,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",2016,120,5.3,127553,103.14,32,125,D26
26,Paris pieds nus,"Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue, mainly involving Dom, a homeless man who has yet to have an emotion or thought he was afraid of expressing.",2016,83,6.8,222,82.95637615,58.98504274,126,D27
27,Bahubali: The Beginning,"In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people.",2015,159,8.3,76193,6.5,58.98504274,127,D28
28,Dead Awake,A young woman must save herself and her friends from an ancient evil that stalks its victims through the real-life phenomenon of sleep paralysis.,2016,99,4.7,523,0.01,58.98504274,128,D28
29,Bad Moms,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",2016,100,6.2,66540,113.08,60,129,D28
30,Assassin's Creed,"When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin, he discovers he is a descendant of the secret Assassins society.",2016,115,5.9,112813,54.65,36,130,D28
31,Why Him?,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.,2016,111,6.3,48123,60.31,39,131,D29
32,Nocturnal Animals,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",2016,116,7.5,126030,10.64,67,132,D30
33,X-Men: Apocalypse,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",2016,144,7.1,275510,155.33,52,133,D31
34,Deadpool,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.,2016,108,8,627797,363.02,65,134,D31
35,Resident Evil: The Final Chapter,"Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",2016,107,5.6,46165,26.84,49,135,D32
36,Captain America: Civil War,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.,2016,147,7.9,411656,408.08,75,136,D33
37,Interstellar,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,2014,169,8.6,1047747,187.99,74,137,D34
38,Doctor Strange,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",2016,115,7.6,293732,232.6,72,138,D35
39,The Magnificent Seven,Seven gunmen in the old west gradually come together to help a poor village against savage thieves.,2016,132,6.9,122853,93.38,54,139,D36
40,5/25/1977,"Alienated, hopeful-filmmaker Pat Johnson's epic story growing up in rural Illinois, falling in love, and becoming the first fan of the movie that changed everything.",2007,113,7.1,241,82.95637615,58.98504274,140,D37
41,Sausage Party,A sausage strives to discover the truth about his existence.,2016,89,6.3,120690,97.66,66,141,D38
42,Moonlight,"A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami.",2016,111,7.5,135095,27.85,99,142,D39
43,Don't Fuck in the Woods,"A group of friends are going on a camping trip to celebrate graduating college. But once they enter the woods, the proverbial shit starts to hit the fan.",2016,73,2.7,496,82.95637615,58.98504274,143,D40
44,The Founder,"The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into one of the biggest restaurant businesses in the world with a combination of ambition, persistence, and ruthlessness.",2016,115,7.2,37033,12.79,66,144,D41
45,Lowriders,"A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture, his ex-felon brother and his need for self-expression.",2016,99,6.3,279,4.21,57,145,D42
46,Pirates of the Caribbean: On Stranger Tides,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",2011,136,6.7,395025,241.06,45,146,D42
47,Miss Sloane,"In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price.",2016,132,7.3,17818,3.44,64,147,D43
48,Fallen,"A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years.",2016,91,5.6,5103,82.95637615,58.98504274,148,D43
49,Star Trek Beyond,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test.",2016,122,7.1,164567,158.8,68,149,D43
50,The Last Face,"A director (Charlize Theron) of an international aid agency in Africa meets a relief aid doctor (Javier Bardem) amidst a political/social revolution, and together face tough choices ... See full summary »",2016,130,3.7,987,82.95637615,16,150,D44
51,Star Wars: Episode VII - The Force Awakens,"Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance.",2015,136,8.1,661608,936.63,81,151,D45
52,Underworld: Blood Wars,"Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.",2016,91,5.8,41362,30.35,23,152,D46
53,Mother's Day,Three generations come together in the week leading up to Mother's Day.,2016,118,5.6,20221,32.46,18,153,D47
54,John Wick,An ex-hitman comes out of retirement to track down the gangsters that took everything from him.,2014,101,7.2,321933,43,68,154,D48
55,The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice.",2008,152,9,1791916,533.32,82,155,D48
56,Silence,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",2016,161,7.3,49190,7.08,79,156,D49
57,Don't Breathe,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",2016,88,7.2,121103,89.21,71,157,D50
58,Me Before You,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,2016,106,7.4,113322,56.23,51,158,D51
59,Their Finest,"A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them.",2016,117,7,3739,3.18,76,159,D52
60,Sully,"The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.",2016,96,7.5,137608,125.07,74,160,D52
61,Batman v Superman: Dawn of Justice,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",2016,151,6.7,472307,330.25,44,161,D53
62,The Autopsy of Jane Doe,"A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.",2016,86,6.8,35870,82.95637615,65,162,D54
63,The Girl on the Train,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,2016,112,6.5,102177,75.31,48,163,D54
