MID,AID
1,1
1,526
1,648
1,607
2,2
2,527
2,557
2,590
3,3
3,528
3,657
3,2045
4,4
4,401
4,1016
4,978
5,5
5,529
5,910
5,610
6,6
6,530
6,1217
6,2046
7,7
7,531
7,1218
7,647
8,8
8,532
8,1219
8,1906
9,9
9,533
9,805
9,1444
10,10
10,534
10,1210
10,2047
11,11
11,535
11,1220
11,2048
12,12
12,536
12,1221
12,243
13,13
13,537
13,1222
13,2049
14,14
14,538
14,1223
14,2050
15,15
15,539
15,1224
15,2051
16,16
16,540
16,700
16,2052
17,17
17,541
17,913
17,192
18,6
18,542
18,692
18,2053
19,18
19,543
19,721
19,2054
20,19
20,544
20,986
20,2055
21,4
21,545
21,605
21,1307
22,20
22,546
22,1225
22,2056
23,21
23,547
23,1226
23,2057
24,22
24,548
24,309
24,1287
25,23
25,549
25,1227
25,168
26,24
26,550
26,1228
26,2058
27,25
27,551
27,1229
27,2059
28,26
28,552
28,1230
28,2060
29,27
29,553
29,1057
29,2061
30,28
30,554
30,1075
30,2062
31,29
31,555
31,1231
31,2063
32,19
32,556
32,1232
32,1578
33,3
33,557
33,808
33,1202
34,30
34,558
34,1216
34,2064
35,31
35,559
35,1212
35,2065
36,32
36,560
36,303
36,2066
37,4
37,561
37,619
37,2067
38,33
38,562
38,818
38,2068
39,34
39,534
39,1233
39,2069
40,35
40,563
40,1234
40,2070
41,36
41,564
41,602
41,2071
42,37
42,565
42,1235
42,2072
43,38
43,566
43,1236
43,2073
44,39
44,567
44,1237
44,1534
45,40
45,568
45,1238
45,2074
46,41
46,569
46,1127
46,1028
47,42
47,570
47,981
47,2055
48,43
48,571
48,1239
48,2075
49,44
49,572
49,1179
49,607
50,45
50,573
50,788
50,2076
51,46
51,574
51,1240
51,626
52,47
52,575
52,1241
52,2077
53,48
53,576
53,955
53,539
54,49
54,577
54,1242
54,1217
55,50
55,578
55,582
55,306
56,17
56,579
56,957
56,2078
57,51
57,580
57,894
57,2079
58,52
58,581
58,1243
58,2080
59,53
59,581
59,1244
59,1437
60,54
60,582
60,1245
60,2081
61,55
61,583
61,679
61,1653
62,56
62,584
62,1246
62,1999
63,57
63,585
63,730
63,1745
64,58
64,586
64,937
64,2082
65,50
65,587
65,978
65,2083
66,59
66,588
66,715
66,306
67,60
67,589
67,647
67,864
68,61
68,590
68,1202
68,2084
69,62
69,591
69,1247
69,2085
70,60
70,592
70,1248
70,2086
71,63
71,593
71,1071
71,2087
72,64
72,554
72,1249
72,2088
73,65
73,594
73,659
73,2089
74,5
74,595
74,848
74,924
75,66
75,596
75,847
75,2090
76,41
76,597
76,699
76,377
77,67
77,598
77,978
77,317
78,64
78,599
78,1250
78,2091
79,41
79,597
79,699
79,1910
80,68
80,564
80,1251
80,2092
81,69
81,600
81,1177
81,1721
82,70
82,601
82,1252
82,2093
83,69
83,602
83,910
83,4
84,55
84,603
84,1253
84,2094
85,71
85,604
85,538
85,837
86,1
86,605
86,1254
86,2095
87,55
87,606
87,1065
87,2096
88,72
88,607
88,594
88,1077
89,73
89,592
89,1255
89,2097
90,55
90,608
90,647
90,2098
91,74
91,556
91,610
91,1869
92,75
92,609
92,622
92,938
93,76
93,610
93,536
93,605
94,77
94,611
94,1256
94,2099
95,67
95,598
95,673
95,780
96,78
96,612
96,1257
96,1491
97,79
97,613
97,1258
97,1679
98,80
98,614
98,1259
98,2100
99,81
99,615
99,1260
99,2101
100,69
100,616
100,1261
100,897
101,61
101,617
101,588
101,2102
102,82
102,618
102,713
102,1314
103,6
103,619
103,564
103,945
104,83
104,620
104,1262
104,2103
105,84
105,621
105,692
105,2104
106,44
106,622
106,904
106,1988
107,85
107,623
107,1263
107,2105
108,86
108,624
108,1264
108,655
109,87
109,625
109,1265
109,2106
110,88
110,626
110,1240
110,2107
111,89
111,627
111,1266
111,2108
112,90
112,628
112,557
112,1158
113,49
113,629
113,1267
113,537
114,91
114,630
114,1268
114,1168
115,92
115,631
115,1269
115,2109
116,93
116,632
116,1216
116,48
117,94
117,633
117,1117
117,689
118,95
118,634
118,1270
118,2110
119,96
119,635
119,1271
119,1248
120,97
120,636
120,1272
120,2111
121,98
121,637
121,715
121,1297
122,99
122,575
122,848
122,773
123,100
123,638
123,608
123,2112
124,101
124,639
124,1273
124,2113
125,50
125,640
125,561
125,136
126,102
126,641
126,1190
126,847
127,60
127,642
127,1274
127,2114
128,103
128,643
128,1275
128,2115
129,104
129,644
129,798
129,2116
130,69
130,640
130,1276
130,626
131,34
131,610
131,1277
131,2117
132,22
132,645
132,1066
132,701
133,105
133,646
133,1278
133,2118
134,106
134,647
134,1279
134,2119
135,71
135,604
135,538
135,1077
136,7
136,648
136,963
136,2120
137,107
137,573
137,663
137,1095
138,69
138,649
138,860
138,230
139,69
139,650
139,673
139,1887
140,108
140,651
140,1280
140,2121
141,44
141,572
141,1281
141,2122
142,109
142,652
142,1282
142,1927
143,50
143,653
143,612
143,1158
144,110
144,654
144,1283
144,2123
145,111
145,655
145,1284
145,2124
146,112
146,656
146,1285
146,2125
147,113
147,657
147,1286
147,2126
148,114
148,658
148,709
148,1599
149,115
149,602
149,1287
149,691
150,54
150,659
150,1034
150,622
151,116
151,660
151,1288
151,248
152,10
152,661
152,1164
152,2127
153,117
153,662
153,1289
153,2128
154,57
154,663
154,1290
154,2098
155,118
155,664
155,1291
155,2129
156,119
156,665
156,1292
156,2130
157,120
157,666
157,1293
157,2131
158,121
158,612
158,823
158,531
159,115
159,635
159,1294
159,2132
160,122
160,667
160,790
160,1244
161,123
161,668
161,1295
161,2133
162,124
162,669
162,621
162,929
163,125
163,670
163,587
163,801
164,126
164,671
164,1296
164,2134
165,127
165,672
165,1297
165,1630
166,81
166,533
166,1298
166,2135
167,128
167,673
167,1095
167,643
168,129
168,674
168,947
168,2136
169,130
169,675
169,1299
169,2137
170,127
170,655
170,1300
170,1523
171,131
171,676
171,1301
171,2138
172,45
172,677
172,1302
172,1523
173,132
173,678
173,1303
173,2139
174,133
174,679
174,978
174,428
175,134
175,680
175,1304
175,906
176,135
176,681
176,1305
176,2140
177,136
177,682
177,747
177,1623
178,137
178,683
178,560
178,2141
179,138
179,658
179,1306
179,2142
180,139
180,684
180,1307
180,1149
181,140
181,685
181,1308
181,2143
182,141
182,686
182,1309
182,2144
183,142
183,687
183,979
183,2145
184,143
184,593
184,1310
184,1512
185,144
185,688
185,1311
185,2146
186,145
186,689
186,1312
186,2147
187,146
187,690
187,1313
187,2148
188,147
188,619
188,1314
188,666
189,7
189,649
189,900
189,636
190,148
190,691
190,669
190,2149
191,28
191,692
