Name,DID
Abdellatif Kechiche,D10
Adam Leon,D11
Adam McKay,D12
Adam Shankman,D13
Adam Wingard,D14
Afonso Poyart,D15
Aisling Walsh,D16
Akan Satayev,D17
Akiva Schaffer,D18
Alan Taylor,D19
Albert Hughes,D20
Alejandro Amenbar,D21
Alejandro Gonz,D22
Alessandro Carloni,D23
Alex Garland,D24
Alex Proyas,D25
Alex Ranarivelo,D26
Alexander Payne,D27
Alexandre Aja,D28
Alexandros Avranas,D29
Alexi Pappas,D30
Alfonso Cuar,D31
Alfonso Gomez-Rejon,D32
Allen Coulter,D33
Amber Tamblyn,D34
Amma Asante,D35
Ana Lily Amirpour,D36
Andr vredal,D37
Andr Muschietti,D38
Andrea Arnold,D39
Andrew Dominik,D40
Andrew Jarecki,D41
Andrew Niccol,D42
Andrew Stanton,D43
Andrey Kravchuk,D44
Andy Fickman,D45
Andy Goddard,D46
Andy Tennant,D47
Ang Lee,D48
Angelina Jolie,D49
Anna Biller,D50
Anna Foerster,D51
Anne Fletcher,D52
Anne Fontaine,D53
Anthony Russo,D54
Antoine Fuqua,D55
Antonio Campos,D56
April Mullen,D57
Ari Sandel,D58
Ariel Vromen,D59
Asger Leth,D60
Asghar Farhadi,D61
Ash Brannon,D62
Atom Egoyan,D63
Ava DuVernay,D64
Babak Najafi,D65
Baltasar Kormkur,D66
Barry Jenkins,D67
Barry Sonnenfeld,D68
Baz Luhrmann,D69
Ben Affleck,D70
Ben Falcone,D71
Ben Stiller,D72
Ben Wheatley,D73
Ben Young,D74
Ben Younger,D75
Bennett Miller,D76
Bill Condon,D77
Billy Ray,D78
Biyi Bandele,D79
Boaz Yakin,D80
Bobby Farrelly,D81
Bong Joon Ho,D82
Brad Bird,D83
Brad Furman,D84
Brad Peyton,D85
Breck Eisner,D86
Brett Ratner,D87
Brian Helgeland,D88
Bruce A. Evans,D89
Bruce Beresford,D90
Bryan Bertino,D91
Bryan Singer,D92
Burr Steers,D93
Byron Howard,D94
Caleb Vetter,D95
Carles Torrens,D96
Carlos Saldanha,D97
Cary Joji Fukunaga,D98
Catherine Hardwicke,D99
Cedric Nicolas-Troyan,D100
Chad Stahelski,D101
Chan-wook Park,D102
Chris Buck,D103
Chris Columbus,D104
Chris Evans,D105
Chris McCoy,D106
Chris Renaud,D107
Chris Stokes,D108
Chris Wedge,D109
Chris Weitz,D110
Christian Alvart,D111
Christian Ditter,D112
Christophe Gans,D113
Christophe Lourdelet,D114
Christopher Landon,D115
Christopher McQuarrie,D116
Christopher Nolan,D117
Christopher Smith,D118
Claude Barras,D119
Clay Kaytis,D120
Clint Eastwood,D121
Colin Strause,D122
Colin Trevorrow,D123
Colm McCarthy,D124
Corey Asraf,D125
Courtney Hunt,D126
Craig Brewer,D127
Craig Gillespie,D128
Cristian Mungiu,D129
D.J. Caruso,D130
Damin Szifron,D131
Damien Chazelle,D132
Dan Berk,D133
Dan Bradley,D134
Dan Gilroy,D135
Dan Kwan,D136
Dan Mazer,D137
Dan Scanlon,D138
Dan Trachtenberg,D139
Daniel Espinosa,D140
Daniel Ragussis,D141
Danny Boyle,D142
Darren Aronofsky,D143
Dave Green,D144
David Ayer,D145
David Bowers,D146
David Cronenberg,D147
David Dobkin,D148
David F. Sandberg,D149
David Fincher,D150
David Frankel,D151
David Gordon Green,D152
David Leveaux,D153
David Lowery,D154
David Lynch,D155
David Mackenzie,D156
David O. Russell,D157
David R. Ellis,D158
David Robert Mitchell,D159
David Ross,D160
David Schwimmer,D161
David Slade,D162
David Twohy,D163
David Yates,D164
Dean DeBlois,D165
Debra Granik,D166
Denis Villeneuve,D167
Dennis Dugan,D168
Dennis Gansel,D169
Denzel Washington,D170
Derek Cianfrance,D171
Dexter Fletcher,D172
Director,D173
Dito Montiel,D174
Dominique Abel,D175
Don Hall,D176
Doug Ellin,D177
Doug Liman,D178
Drake Doremus,D179
Drew Goddard,D180
Duncan Jones,D181
Ed Gass-Donnelly,D182
Edgar Wright,D183
Edward Zwick,D184
Eleanor Coppola,D185
Eli Roth,D186
Elizabeth Banks,D187
Elizabeth Wood,D188
Eran Creevy,D189
Eric Summer,D190
Ericson Core,D191
Erik Van Looy,D192
Etan Cohen,D193
